CPT Codes,Procedure Code Category,Operative Procedure,Procedure Description,Procedure Code Descriptions
24575,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of humeral epicondylar fracture, medial or lateral, includes internal fixation, when performed"
24579,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of humeral condylar fracture, medial or lateral, includes internal fixation, when performed"
24586,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,Open treatment of periarticular fracture and/or dislocation of the elbow (fracture distal humerus and proximal ulna and/or proximal radius);
24587,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,Open treatment of periarticular fracture and/or dislocation of the elbow (fracture distal humerus and proximal ulna and/or proximal radius); with implant arthroplasty
24635,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of Monteggia type of fracture dislocation at elbow (fracture proximal end of ulna with dislocation of radial head), includes internal fixation, when performed"
24665,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of radial head or neck fracture, includes internal fixation or radial head excision, when performed;"
24666,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of radial head or neck fracture, includes internal fixation or radial head excision, when performed; with radial head prosthetic replacement"
24685,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of ulnar fracture, proximal end (eg, olecranon or coronoid process[es]), includes internal fixation, when performed"
24900,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits","Amputation, arm through humerus; with primary closure "
24920,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits","Amputation, arm through humerus; open, circular (guillotine) "
24930,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits","Amputation, arm through humerus; re-amputation "
24931,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits","Amputation, arm through humerus; with implant "
25337,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Reconstruction for stabilization of unstable distal ulna or distal radioulnar joint, secondary by soft tissue stabilization (eg, tendon transfer, tendon graft or weave, or tenodesis) with or without open reduction of distal radioulnar joint"
25515,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of radial shaft fracture, includes internal fixation, when performed"
25525,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of radial shaft fracture, includes internal fixation, when performed, and open treatment of distal radioulnar joint dislocation (Galeazzi fracture/ dislocation), includes percutaneous skeletal fixation when performed"
25526,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of radial shaft fracture, includes internal fixation, when performed, and open treatment of distal radioulnar joint dislocation (Galeazzi fracture/ dislocation), includes internal fixation, when performed, includes repair of triangular fibrocartilage complex"
25545,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of ulnar shaft fracture, includes internal fixation, when performed"
25574,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of radial AND ulnar shaft fractures, with internal fixation, when performed; of radius OR ulna"
25575,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of radial AND ulnar shaft fractures, with internal fixation, when performed; of radius AND ulna"
25607,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of distal radial extra-articular fracture or epiphyseal separation, with internal fixation"
25608,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,Open treatment of distal radial intra-articular fracture or epiphyseal separation; with internal fixation of 2 fragments
25609,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,Open treatment of distal radial intra-articular fracture or epiphyseal separation; with internal fixation of 3 or more fragments
25652,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,Open treatment of ulnar styloid fracture
25900,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits","Amputation, forearm, through radius and ulna"
25905,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits","Amputation, forearm, through radius and ulna; open, circular (guillotine) "
25909,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits","Amputation, forearm, through radius and ulna; re-amputation"
25920,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits",Disarticulation through wrist
25922,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits",Disarticulation through wrist; secondary closure or scar revision 
25924,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits",Disarticulation through wrist; re-amputation 
25927,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits",Transmetacarpal amputation;  
25929,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits",Transmetacarpal amputation; secondary closure or scar revision 
25931,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits",Transmetacarpal amputation; re-amputation 
26235,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits","Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteomyelitis); proximal or middle phalanx of finger"
26236,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits","Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteomyelitis); distal phalanx of finger"
26551,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits","Transfer, toe-to-hand with microvascular anastomosis; great toe wrap-around with bone graft "
26910,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits","Amputation, metacarpal, with finger or thumb (ray amputation), single, with or without interosseous transfer "
26951,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits","Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with direct closure "
26952,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits","Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with local advancement flaps (V-Y, hood) "
27125,HPRO,Hip prosthesis,Arthroplasty of hip,"Hemiarthroplasty, hip, partial (eg, femoral stem prosthesis, bipolar arthroplasty)"
27130,HPRO,Hip prosthesis,Arthroplasty of hip,"Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip arthroplasty), with or without autograft or allograft"
27132,HPRO,Hip prosthesis,Arthroplasty of hip,"Conversion of previous hip surgery to total hip arthroplasty, with or without autograft or allograft"
27134,HPRO,Hip prosthesis,Arthroplasty of hip,"Revision of total hip arthroplasty; both components, with or without autograft or allograft "
27137,HPRO,Hip prosthesis,Arthroplasty of hip,"Revision of total hip arthroplasty; acetabular component only, with or without autograft or allograft "
27138,HPRO,Hip prosthesis,Arthroplasty of hip,"Revision of total hip arthroplasty; femoral component only, with or without allograft"
27177,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,Open treatment of slipped femoral epiphysis; single or multiple pinning or bone graft (includes obtaining graft)
27178,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,Open treatment of slipped femoral epiphysis; closed manipulation with single or multiple pinning
27179,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,Open treatment of slipped femoral epiphysis; osteoplasty of femoral neck (Heyman type procedure)
27181,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,Open treatment of slipped femoral epiphysis; osteotomy and internal fixation
27236,HPRO,Hip prosthesis,Arthroplasty of hip,"Open treatment of femoral fracture, proximal end, neck, internal fixation or prosthetic replacement"
27244,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Treatment of intertrochanteric, peritrochanteric, or subtrochanteric femoral fracture; with plate/screw type implant, with or without cerclage"
27245,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Treatment of intertrochanteric, peritrochanteric, or subtrochanteric femoral fracture; with intramedullary implant, with or without interlocking screws and/or cerclage"
27248,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of greater trochanteric fracture, includes internal fixation, when performed"
27254,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of hip dislocation, traumatic, with acetabular wall and femoral head fracture, with or without internal or external fixation"
27269,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of femoral fracture, proximal end, head, includes internal fixation, when performed"
27280,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, open, sacroiliac joint, including obtaining bone graft, including instrumentation, when performed"
27290,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits",Interpelviabdominal amputation (hindquarter amputation) 
27295,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits",Disarticulation of hip 
27438,KPRO,Knee prosthesis,Arthroplasty of knee,"Arthroplasty, patella; with prosthesis"
27440,KPRO,Knee prosthesis,Arthroplasty of knee,"Arthroplasty, knee, tibial plateau"
27441,KPRO,Knee prosthesis,Arthroplasty of knee,"Arthroplasty, knee, tibial plateau; with debridement and partial synovectomy"
27442,KPRO,Knee prosthesis,Arthroplasty of knee,"Arthroplasty, femoral condyles or tibial plateau(s), knee"
27443,KPRO,Knee prosthesis,Arthroplasty of knee,"Arthroplasty, femoral condyles or tibial plateau(s), knee; with debridement and partial synovectomy"
27445,KPRO,Knee prosthesis,Arthroplasty of knee,"Arthroplasty, knee, hinge prosthesis (eg, Walldius type)"
27446,KPRO,Knee prosthesis,Arthroplasty of knee,"Arthroplasty, knee, condyle and plateau; medial OR lateral compartment"
27447,KPRO,Knee prosthesis,Arthroplasty of knee,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)"
27486,KPRO,Knee prosthesis,Arthroplasty of knee,"Revision of total knee athroplasty, with or without allograft, one component"
27487,KPRO,Knee prosthesis,Arthroplasty of knee,"Revision of total knee arthroplasty, with or without allograft; femoral and entire tibial component"
27506,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of femoral shaft fracture, with or without external fixation, with insertion of intramedullary implant, with or without cerclage and/or locking screws"
27507,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of femoral shaft fracture with plate/screws, with or without cerclage"
27511,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of femoral supracondylar or transcondylar fracture without intercondylar extension, includes internal fixation, when performed"
27513,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of femoral supracondylar or transcondylar fracture with intercondylar extension, includes internal fixation, when performed"
27514,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of femoral fracture, distal end, medial or lateral condyle, includes internal fixation, when performed"
27519,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of distal femoral epiphyseal separation, includes internal fixation, when performed"
27535,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of tibial fracture, proximal (plateau); unicondylar, includes internal fixation, when performed"
27536,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of tibial fracture, proximal (plateau); bicondylar, with or without internal fixation"
27540,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of intercondylar spine(s) and/or tuberosity fracture(s) of the knee, includes internal fixation, when performed"
27590,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits","Amputation, thigh, through femur, any level; "
27591,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits","Amputation, thigh, through femur, any level; immediate fitting technique including first cast "
